County,state,mortality_rate,number_death,cancer_incidence,number_cases,population_2015,age,income,poverty,household,married,unemployed,medicare,white,black,asian,BirthRate,group,random_n
"Alcona County, Michigan",Michigan,177,42,408.2,92,10349,56.6,36377,17.5,2.08,60.5,12.2,18.7,97.53554502,0.274881517,0.360189573,2.960526316,Group 3,0.042843796545639634
"Wheeler County, Oregon",Oregon,144.6,4,375,11,1358,56.5,33387,23.3,1.97,60.6,8.5,11.9,96.81008902,0,0.370919881,1.754385965,Group 3,0.2746920462232083
"Custer County, Colorado",Colorado,160.8,11,439.8,31,4445,56.4,48368,14.9,2.15,64.8,14,24.2,93.98094353,3.137346038,0,5.851979346,Group 2,0.15652466635219753
"Llano County, Texas",Texas,168.7,68,395.8,149,19796,56.3,45096,14.9,2.21,59,5.8,21.4,95.24918491,2.23567769,0.274284531,5.130927105,Group 3,0.13049285090528429
"Sierra County, California",California,158,9,312.8,16,2967,54.5,47293,13.8,2.38,52.4,8,25.5,96.42502483,0.099304866,0.033101622,2.073732719,Group 3,0.3335688605438918
"Iron County, Michigan",Michigan,167.6,41,344.3,72,11348,53.3,35961,17.3,2.07,51.2,9,19.7,96.56730686,0.504041019,0.36499522,4.683342203,Group 2,0.29418805288150907
"Presque Isle County, Michigan",Michigan,171.8,44,414.7,99,12841,53.2,39420,16.1,2.13,59.6,13.1,16.4,97.26931042,0.46022858,0.337500959,3.178368121,Group 1,0.12381129711866379
"Middlesex County, Virginia",Virginia,206.9,43,525.6,100,10606,52.7,48921,14.4,2.38,54.4,6.3,12.3,79.43454325,19.2964449,0,2.71468144,Group 3,0.19167272676713765
"Leelanau County, Michigan",Michigan,132.5,54,372.9,138,21981,52.4,60622,8.9,2.31,61.4,7.1,13.9,92.63733235,0.574131913,0.688958295,5.887253541,Group 1,0.3171456216368824
"Iron County, Wisconsin",Wisconsin,195.8,24,451.5,49,5794,52.4,39408,15.6,1.99,58.1,7,21.4,97.12205857,0.440155747,0.067716269,4.091341579,Group 2,0.07367822644300759
"Fall River County, South Dakota",South Dakota,187.8,25,515.1,61,6867,52.4,42007,17,2.14,52.3,4.1,17.6,87.05473501,1.12945265,0.79640892,6.16375345,Group 3,0.24009700841270387
"Wallowa County, Oregon",Oregon,150.3,20,457.3,53,6856,52.2,39743,15.8,2.18,57.3,9.5,21.3,95.59574158,0.30625638,0.233338195,4.545454545,Group 1,0.034140218049287796
"Madison County, Montana",Montana,129.5,17,378.7,46,7915,52.1,41539,12.6,2.23,55.3,4.8,13.7,95.69975538,0.772499034,0.051499936,3.238866397,Group 1,0.12068544421344995
"Sheridan County, North Dakota",North Dakota,124.8,4,374.8,9,1310,52,44990,16.1,2.05,63.2,2,23.3,98.27973074,0,0,4.95049505,Group 2,0.26734171248972416
"Divide County, North Dakota",North Dakota,93.8,4,330.6,11,2450,51.7,67344,8.3,2.07,64.5,0.7,6,95.67847882,0.475367329,0.864304235,14.4,Group 2,0.3468936225399375
"Baxter County, Arkansas",Arkansas,194.7,156,490.9,370,41053,51.5,37873,14.9,2.23,57.5,7.6,23.6,96.75194932,0.328947368,0.504385965,4.674318905,Group 1,0.2275004917755723
"Stone County, Missouri",Missouri,169.4,92,379.3,205,30943,51.3,40642,16.2,2.42,62.5,10.8,19.7,96.71713147,0.101992032,0.044621514,3.314818133,Group 1,0.1503631577361375
"Wibaux County, Montana",Montana,214.4,3,373.3,6,1130,51.2,43859,11.7,2.15,56.5,3,14.3,100,0,0,17.87709497,Group 2,0.2388455660548061
"Smith County, Kansas",Kansas,157.6,13,453.5494221,1962.667684,3704,50.7,41303,13.5,2.21,60.7,3.2,15.4,97.48663102,0.427807487,0.160427807,8.463949843,Group 1,0.3321222933009267
"Daniels County, Montana",Montana,197.5,6,444,13,1760,50.3,47376,10.8,1.99,57.2,2.6,11.7,98.17974972,0,0.170648464,7.560137457,Group 2,0.04501915816217661
"Clallam County, Washington",Washington,181.3,235,480.2,575,73486,50.1,47185,16.2,2.27,50.5,9.9,21,88.08928547,0.917165076,1.480724339,5.956137583,Group 2,0.11559016327373683
"Brunswick County, North Carolina",North Carolina,169.2,291,419.2,702,122765,50,47387,15.7,2.34,57.4,11.4,20.2,83.43598502,10.80344358,0.63920087,6.292374849,Group 3,0.1882021997589618
"Piscataquis County, Maine",Maine,194,53,478.1,128,16931,49.8,36994,20.3,2.24,52.8,10.5,25.8,96.57262765,0.37304733,0.466309163,6.290471785,Group 2,0.1660890830680728
"Camden County, Missouri",Missouri,152.7,107,399.4,279,44237,49.8,44410,17.5,2.6,57,9.1,19.7,96.46914199,0.507660437,0.703439798,5.73630137,Group 3,0.3215901313815266
"Sherman County, Oregon",Oregon,180.4,5,587.4,16,1680,49.8,53277,14.2,2.22,53.6,7.9,18.6,91.86629526,0.557103064,0.222841226,7.333333333,Group 3,0.16322288080118597
"Flagler County, Florida",Florida,174.6,300,444.8,698,105392,49.6,51556,11.6,0.0271,54.2,9.3,17.9,81.41253981,11.21220841,2.366470536,4.063558218,Group 2,0.11931138695217669
"Pickett County, Tennessee",Tennessee,160,14,483.4,38,5146,49.4,31996,19.2,2.25,66.7,4.9,21.8,97.68491269,0.74553659,0,8.686210641,Group 2,0.335557195590809
"Park County, Colorado",Colorado,137.9,23,402.1,74,16510,49.4,58487,9.4,2.2,59.2,5.6,15.2,95.8860955,0,0.963617271,4.06824147,Group 2,0.2158294152468443
"Greeley County, Kansas",Kansas,156.9,3,453.5494221,1962.667684,1330,49.4,52795,10.8,2.46,66.6,2.1,10.5,87.17320261,0.89869281,0.326797386,5.687203791,Group 2,0.2742375449743122
"Big Stone County, Minnesota",Minnesota,178,19,453.5494221,1962.667684,5040,49.2,46495,12.8,2.18,63.2,3.3,14.9,98.03272302,0.194779899,0.077911959,7.09382151,Group 2,0.336581920273602
"Mohave County, Arizona",Arizona,196.6,672,444.9,1424,204737,49.2,37704,20.8,2.43,49.5,13.2,29.2,89.04564275,1.127054219,1.227859679,4.575797025,Group 1,0.326396519318223
"Rappahannock County, Virginia",Virginia,149.6,17,401.1,44,7378,49.1,62800,9.3,2.26,63.9,2.9,13.1,92.38325932,4.185170233,0.807428341,5.182481752,Group 1,0.07586517813615501
"Chautauqua County, Kansas",Kansas,194.2,13,453.5494221,1962.667684,3402,49.1,39120,16.4,2.21,59.8,5.1,20.1,88.38068182,0.568181818,0,2.613240418,Group 1,0.31015171972103417
"Talbot County, Maryland",Maryland,161.9,111,454.6,280,37512,49,54836,11.7,2.3,54,6.7,16.2,82.23233419,11.88655785,1.481520675,3.328451604,Group 3,0.3295977977104485
"Hand County, South Dakota",South Dakota,130.6,8,348.6,19,3348,48.8,51201,10,2.19,58.9,1.7,9.9,98.81481481,0,0.296296296,3.64298725,Group 3,0.17120855394750834
"Hernando County, Florida",Florida,178.1,567,447.5,1300,178439,48.7,40094,15.3,2.45,52.4,13.7,25.8,89.94216545,5.380157772,1.088044666,5.381697487,Group 1,0.3340585152618587
"Charles City County, Virginia",Virginia,214.2,23,492.6,50,7040,48.6,49768,13.1,2.47,44.7,8.2,18.4,42.03427929,48.21579095,0.266928913,4.814305365,Group 3,0.3446073243394494
"Nelson County, Virginia",Virginia,194.3,44,526.7,120,14785,48.4,48076,13.4,2.33,50,5.7,15.2,83.89419841,13.44057074,0.249024095,5.74048913,Group 1,0.05622088513337076
"Benzie County, Michigan",Michigan,179,50,472.8,125,17457,48.4,48846,11.8,2.37,53.7,8.4,16.9,96.01422263,0.332626025,0.269541779,4.021937843,Group 1,0.13785045221447945
"Rockbridge County, Virginia",Virginia,159.2,58,338,115,22354,48.3,48497,13,2.39,55,4.1,15.6,93.75334165,2.86936375,0.699518802,6.476146578,Group 2,0.33321909862570465
"Cass County, Minnesota",Minnesota,168.1,76,453.5494221,1962.667684,28706,48.3,45179,15.7,2.19,61.1,7.4,25.9,85.19232792,0.361162734,0.497913672,7.941812463,Group 1,0.26155035221017897
"Baker County, Oregon",Oregon,169.5,46,438.3,110,16005,48.2,38966,20.6,2.16,56.3,10.1,22.3,94.94144032,0.255419885,0.67904311,9.370529328,Group 2,0.12137038400396705
"Coos County, New Hampshire",New Hampshire,181.6,93,459.2,223,31212,48.1,42491,14.9,2.13,51.5,6.9,22.5,95.54753687,1.735174145,0.429871352,5.975049245,Group 2,0.3440775403287262
"Clear Creek County, Colorado",Colorado,139.4,15,416.9,50,9303,48,69115,8.5,2.13,57.4,5.4,11.8,94.01269702,1.313485114,0.634851138,3.600654664,Group 2,0.19368156022392213
"San Augustine County, Texas",Texas,182.2,28,369.6,53,8473,47.8,32826,23.9,2.93,44.3,16.3,25.6,74.58309373,22.23116734,0.034502588,5.389980977,Group 1,0.26378055941313505
"Newton County, Arkansas",Arkansas,203.6,24,397.4,48,7913,47.7,35895,20.1,0.0242,56.7,4.4,27.8,95.36761053,0,0.459513164,3.53569046,Group 2,0.2149258810095489
"Trinity County, Texas",Texas,190.7,46,500.3,113,14402,47.7,36645,19.9,2.69,49.1,9.9,23,87.36549809,10.26032628,0.201318986,2.844950213,Group 3,0.3337526614777744
"Jefferson County, Montana",Montana,185.5,25,445.4,65,11645,47.7,61575,10.4,2.51,59.5,6.6,11.8,95.03564597,0.147800383,0.234741784,4.111531191,Group 1,0.313330571167171
"Colfax County, New Mexico",New Mexico,139.9,30,377.4,76,12414,47.6,37156,20.5,2.26,48.3,9.5,26.1,85.49665307,0.415480495,1.123336155,5.741042345,Group 1,0.0035995650105178356
"Webster County, Nebraska",Nebraska,162.7,12,495.5,31,3625,47.5,40979,12.7,2.31,57.2,4.7,17.7,95.53692183,0.054097917,1.379496889,3.524229075,Group 1,0.34298750339075923
"Menominee County, Michigan",Michigan,185,70,310.1,108,23548,47.5,42191,14.5,2.19,52.9,8.5,20.1,94.72108614,0.265632247,0.202386474,5.558035714,Group 2,0.03851973311975598
"Georgetown County, South Carolina",South Carolina,190.9,173,484.6,431,61298,47.5,44283,19.6,2.55,50.1,11.2,21.4,64.0163772,32.67021066,0.4094301,5.073731567,Group 3,0.21555979386903346
"Talbot County, Georgia",Georgia,210.3,19,443.8,41,6337,47.5,33370,23.8,2.43,42.7,10.6,18.5,41.43297381,57.53466872,0.184899846,4.686258936,Group 1,0.29205783968791366
"De Baca County, New Mexico",New Mexico,243.6,8,467.1,14,1828,47.3,33789,20.6,3.84,27.6,5.2,30.4,80.04950495,0,0.148514851,0,Group 1,0.14656432950869203
"Shoshone County, Idaho",Idaho,225.1,44,497.6,95,12432,47.1,36577,18.9,2.16,55,11.8,18.9,95.28279373,0.318192666,0.572746798,8.244897959,Group 3,0.1857548994012177
"Dixie County, Florida",Florida,195.9,48,436.6,103,16203,46.9,32121,27.1,2.41,45.8,7.2,28.7,88.10515195,8.799950283,0.745758499,5.828779599,Group 3,0.16905176942236722
"Faulk County, South Dakota",South Dakota,146.6,6,432,17,2337,46.9,46633,13.2,2.16,52.4,0.7,10.4,97.15981348,0,0.127172531,15.65656566,Group 3,0.29637752496637404
"Deer Lodge County, Montana",Montana,196.9,29,426.1,57,9139,46.8,38178,17.1,2.13,49.9,3.9,18.4,93.33405711,1.031375529,0.521116057,5.317324185,Group 3,0.0726233294699341
"Gosper County, Nebraska",Nebraska,187.4,6,445.3,14,1973,46.7,55319,9.1,2.46,64.9,5.1,10.7,97.01417004,0,0,1.38121547,Group 2,0.2904137992300093
"Faribault County, Minnesota",Minnesota,158.9,40,453.5494221,1962.667684,14050,46.7,48163,13.5,2.18,57.4,4.2,18.6,97.65987351,0.358397751,0.414617006,3.50678733,Group 3,0.0242312322370708
"Otter Tail County, Minnesota",Minnesota,156.9,148,453.5494221,1962.667684,57716,46.7,51510,11.2,2.34,60.2,4.4,16.7,95.8964372,1.225852446,0.605101633,7.511606314,Group 2,0.07828808086924255
"Park County, Montana",Montana,140.9,31,459.2,98,15972,46.6,42942,14.7,2.28,52.2,5.4,14.2,96.27578304,0.547491724,0.08912656,3.270009343,Group 2,0.25330781168304384
"Reynolds County, Missouri",Missouri,181.8,18,394.3,38,6432,46.6,31820,21.5,2.4,55.6,11.1,25.9,96.18425053,1.429005777,0.045606567,6.022187005,Group 1,0.11853163782507181
"Ashe County, North Carolina",North Carolina,169.3,71,464.7,186,27020,46.6,36488,20.9,2.27,59.2,8.5,19.6,94.18381648,0.685992476,0.309803054,4.603914259,Group 3,0.34588461462408304
"Pope County, Minnesota",Minnesota,154.5,28,453.5494221,1962.667684,11041,46.5,51343,10.4,2.23,63,4.1,15.5,97.52466204,0.548045305,0.356229448,8.178625188,Group 2,0.07566227880306542
"Carteret County, North Carolina",North Carolina,191.5,190,501.8,483,68879,46.4,48824,14.7,2.27,53.4,10.2,17,88.87553497,6.424048778,1.229700416,4.194102491,Group 3,0.00162984780035913
"Fremont County, Iowa",Iowa,181.2,20,487.2,51,6906,46.4,54154,11.7,2.36,59.4,3.7,18.3,96.81958908,0.295524909,0,6.004618938,Group 1,0.23536386038176715
"Hancock County, Illinois",Illinois,170,50,468.6,128,18543,46.2,48767,11.6,2.35,58.8,6.8,22.5,97.72654499,0.565695378,0.357562173,5.844875346,Group 1,0.2446504223626107
"Morgan County, West Virginia",West Virginia,209.7,52,425.4,105,17524,46.1,44446,13,2.36,47.7,12.3,17.3,97.35622318,0.772532189,0.417739628,4.090035685,Group 3,0.08475196524523199
"Saguache County, Colorado",Colorado,145.4,10,337.1,24,6251,46.1,31227,29.9,2.39,52.1,9.7,32.4,87.6563001,0.368707919,1.122154537,7.037358818,Group 1,0.26030518068000674
"Bosque County, Texas",Texas,190.7,55,393.2,107,17891,46,44397,15,2.52,57.8,7.9,16.9,94.16838239,1.496856046,0.445161649,3.008595989,Group 2,0.2927289819344878
"Litchfield County, Connecticut",Connecticut,151.2,389,480.9,1190,183603,46,73413,7.7,2.46,53.8,7.1,15.5,93.51382686,1.517412401,1.808871522,3.812301967,Group 3,0.09494311921298504
"Dukes County, Massachusetts",Massachusetts,160,37,497.3,113,17299,45.9,61259,9,2.79,47.2,5.2,19.9,92.60910371,3.320037541,0.786015955,3.227665706,Group 1,0.07164482469670475
"Harrison County, Ohio",Ohio,201.4,47,445.5,97,15450,45.9,42582,16.9,2.45,57.8,5.6,19.3,95.83573211,2.09812576,0.134331222,7.156549521,Group 1,0.3064620040822774
"Stark County, Illinois",Illinois,160.4,16,482.6,41,5788,45.9,50219,11.9,2.41,57,7.7,15.5,97.61051374,0.750981396,0.563236047,4.589585172,Group 3,0.17816568701528013
"Guthrie County, Iowa",Iowa,168.5,29,437.9,70,10676,45.9,49507,12.4,2.34,59.6,5.4,15.6,97.71880819,0.754189944,0.148975791,4.965920156,Group 1,0.09069763030856848
"Delaware County, Oklahoma",Oklahoma,182.4,112,408.4,241,41459,45.8,36424,18.8,2.47,55,9.2,23.5,66.20782922,0.304281678,1.144678693,4.550418639,Group 3,0.27499061450362206
"Potter County, Pennsylvania",Pennsylvania,191.9,52,456.5,114,17093,45.8,40323,14.3,2.57,52.1,6.9,18.5,97.75565403,0.575473327,0.345283996,6.77146312,Group 1,0.11455843690782785
"Inyo County, California",California,138.1,40,408.4,111,18260,45.7,49267,14,2.23,46.8,6.8,18.5,82.73009307,1.066782779,1.328035705,4.535082715,Group 1,0.13834529230371118
"Sheridan County, Kansas",Kansas,143.1,7,453.5494221,1962.667684,2512,45.7,52300,10.9,2.21,64.1,1.2,16.1,97.90596602,0.07902015,0,7.382550336,Group 2,0.07170904683880508
"Clay County, Texas",Texas,167.3,25,421.4,61,10360,45.7,50993,13.5,2.51,59.7,6.8,16.3,94.81820784,0.715717149,0.391258708,4.377431907,Group 1,0.3192340536043048
"Gasconade County, Missouri",Missouri,180.8,43,481,105,14858,45.6,44065,13.5,2.35,56.6,6.1,17.9,97.75220765,0.44153064,0.287663902,6.720977597,Group 1,0.1300355503335595
"Jefferson County, Nebraska",Nebraska,201.3,27,379.5,46,7263,45.5,44947,11.5,2.18,58.4,4,16.2,97.1747612,0.013453518,0.242163326,5.139186296,Group 2,0.26846469030715525
"Rutland County, Vermont",Vermont,178.8,150,476,393,59736,45.5,44888,13.5,2.29,49.4,6.6,24.2,96.93375186,0.632744094,0.731868495,4.093296262,Group 3,0.21343234740197659
"Haines Borough, Alaska",Alaska,126.3,4,413.3,13,2534,45.5,67260,9.8,2.12,55.3,3,9.3,80.546875,0.0390625,3.0078125,5.37428023,Group 2,0.10916831251233816
"Mason County, Washington",Washington,176,152,505.4,428,61023,45.4,52313,15.6,2.58,50.4,12.9,20.2,84.88263065,1.653205244,1.53805662,4.964476021,Group 2,0.21543570351786911
"Scott County, Virginia",Virginia,196.1,69,330.8,110,22126,45.4,36290,20.8,2.34,57.6,9.4,20.7,98.08152415,0.757642889,0.26583961,2.248441674,Group 1,0.1252774077001959
"Southampton County, Virginia",Virginia,181.8,43,405.7,97,18109,45.4,46521,15.3,2.53,48.3,7.2,16.7,60.91797936,35.92069527,0.10320478,5.455508475,Group 2,0.2763313197065145
"Venango County, Pennsylvania",Pennsylvania,199.4,160,487.7,369,53119,45.4,43810,16.2,2.38,53.5,8.1,20.3,96.82039105,0.888583831,0.387711943,5.128205128,Group 3,0.2755923611111939
"Martin County, Minnesota",Minnesota,162.5,58,453.5494221,1962.667684,20022,45.4,52042,12.2,2.26,54.9,3.5,17.2,97.57739558,0.348894349,0.540540541,7.700101317,Group 2,0.31802036240696907
"Norman County, Minnesota",Minnesota,169.9,19,453.5494221,1962.667684,6678,45.4,51597,13.4,2.4,56.2,5.1,18.8,93.21578004,0.508069337,0.403466826,6.289308176,Group 1,0.07530438643880188
"Sargent County, North Dakota",North Dakota,188.2,11,579.7,31,3876,45.3,58467,7.3,2.22,60.9,1.2,5,96.07640681,1.084150749,0.567888487,6.284916201,Group 1,0.1321933032013476
"Halifax County, Virginia",Virginia,178.3,97,412.7,211,35125,45.3,39079,18,2.43,47.8,7.5,21.8,60.49400101,36.92615333,0.599898609,5.521048999,Group 3,0.19391278084367514
"Skamania County, Washington",Washington,188.3,26,398.9,55,11339,45.2,52673,12.6,2.49,54.4,8.3,20.5,93.41812683,0.844970204,0.978386552,4.805591962,Group 2,0.07812886079773307
"Ritchie County, West Virginia",West Virginia,214.7,32,502,72,9982,45.2,46383,17.7,2.56,49.5,10.6,24.3,98.234714,0.473372781,0,6.267539757,Group 1,0.20041160914115608
"Pulaski County, Virginia",Virginia,185.8,91,390.6,189,34332,45.2,46186,14.7,2.3,53.5,7.4,16.7,92.09047729,5.832947173,0.133225209,6.174957118,Group 2,0.2500719709787518
"Armstrong County, Texas",Texas,213.4,6,435.7,12,1947,45.1,55177,11,2.63,61.1,1.1,11.7,90.11837365,1.18373649,0,2.949061662,Group 1,0.1727038766257465
"Gallatin County, Illinois",Illinois,213.6,18,492.5,41,5265,45.1,41045,17.5,2.23,55.2,7.5,27.5,96.86165274,0.389972145,0.464252553,5.876865672,Group 3,0.12506922450847924
"Ida County, Iowa",Iowa,159.8,19,548.4,57,7028,45.1,53905,10.9,2.24,62.8,3.7,15.7,97.76552114,0.551548579,0.33941451,9.293394777,Group 1,0.3166342074982822
"Montgomery County, Iowa",Iowa,148.3,26,482.3,74,10234,45.1,42046,19.3,2.22,55.6,9.6,21.2,95.86239847,0,0.028666985,6.811862836,Group 3,0.16654963162727654
"Waldo County, Maine",Maine,180.1,93,484,250,39155,45,46598,15,2.26,53.7,7.5,21.5,96.89809113,0.500307882,0.631157635,4.975063861,Group 2,0.24124983767978847
"Marshall County, Kansas",Kansas,150.8,25,453.5494221,1962.667684,9936,45,47901,11.1,2.27,61.4,3,12.2,97.08145927,0.289855072,0.289855072,6.352683461,Group 2,0.014039233792573214
"Beaufort County, North Carolina",North Carolina,194,130,524.2,345,47651,44.9,40357,18.8,2.54,49.1,11.5,21.9,70.06581022,26.43762747,0.088307647,4.17432129,Group 1,0.056875879876315594
"Essex County, Virginia",Virginia,183.4,29,433.5,66,11130,44.8,48277,14.5,2.53,45.4,8.5,17.2,55.74387947,41.03667832,0,1.972920696,Group 2,0.27962624141946435
"Cumberland County, Kentucky",Kentucky,185.7,19,562.7,53,6759,44.8,29067,27.8,2.45,51.3,10.2,26.1,94.84354341,2.967533421,0.264433671,2.826379542,Group 3,0.3484929606784135
"Washington County, Virginia",Virginia,176.7,136,420.8,312,54591,44.7,43353,14.5,2.35,53.9,6.9,17.7,96.45720338,1.490166,0.555159882,5.091597145,Group 3,0.3160165415611118
"Gilpin County, Colorado",Colorado,129.8,7,400.2,22,5828,44.7,64752,7.9,2.14,54.5,4.9,11,92.14986619,0.517395183,0.142729706,3.787268332,Group 1,0.1641542932484299
"Cass County, Iowa",Iowa,218.8,49,470.8,97,13427,44.7,46159,13.1,2.18,57.4,3.2,21.8,97.52023547,0.419426049,0.38263429,9.298780488,Group 3,0.12357258447445929
"Pickens County, Georgia",Georgia,176.4,68,512.6,196,30309,44.7,51047,12.3,2.61,62.8,8.3,15.8,95.3463349,1.445864156,0.68930733,5.382482466,Group 3,0.005738433916121721
"Madison County, Virginia",Virginia,169.8,31,463.3,84,13134,44.6,52513,12.3,2.58,52.2,6.6,16.8,85.78382901,8.252833346,0,6.25698324,Group 3,0.1838092179968953
"Johnson County, Wyoming",Wyoming,147.8,19,412.7,49,8585,44.6,51434,9.7,2.34,54.1,3.6,12.2,97.36046512,0.046511628,0,6.819672131,Group 3,0.030673524364829063
"Johnson County, Tennessee",Tennessee,211.3,52,414.7,102,17830,44.5,31330,26.4,2.29,53.3,9,26.1,93.40067714,3.946272964,0.127657213,5.253623188,Group 1,0.12037791754119098
"Shannon County, Missouri",Missouri,210.7,24,381,42,8258,44.5,27382,28.2,2.5,54.6,9.2,24.1,95.64746904,0.276542022,0,7.147111376,Group 2,0.09427846712060273
"Chowan County, North Carolina",North Carolina,189,44,437.7,95,14394,44.5,38887,23.2,2.41,48.4,12.7,26.3,63.05267467,34.15665939,0.211517467,7.658119658,Group 2,0.12536136410199106
"Swift County, Minnesota",Minnesota,162.3,27,453.5494221,1962.667684,9340,44.5,51032,10.8,2.21,57.5,3.9,19.8,95.9160105,1.637795276,0.167979003,9.56284153,Group 3,0.3006320521235466
"Tyrrell County, North Carolina",North Carolina,222.3,13,431,24,4070,44.4,32773,28.3,2.45,42.5,14.1,23,59.89884393,30.39499037,2.817919075,7.088989442,Group 3,0.12992118811234832
"Cambria County, Pennsylvania",Pennsylvania,168.5,366,488.3,979,136411,44.4,42703,15.3,2.28,48.5,8.5,17.6,93.8492334,3.407207582,0.495763411,4.763561711,Group 1,0.2149342813063413
"Oconee County, South Carolina",South Carolina,172.9,182,476.6,493,75713,44.3,39548,17.5,2.43,53.8,10.4,18.7,88.21465263,7.498432267,0.645772459,6.598098195,Group 1,0.2747271715197712
"McCulloch County, Texas",Texas,186.9,24,430.6,51,8341,44.2,39649,18.9,2.59,55.8,4.3,22.3,88.891575,1.643901849,0,3.525835866,Group 1,0.2916778293438256
"Ellsworth County, Kansas",Kansas,149.6,15,453.5494221,1962.667684,6343,44.2,46961,12.4,2.08,51,4.3,13.2,90.28081123,3.83775351,0.327613105,7.773512476,Group 1,0.12718716263771057
"York County, Maine",Maine,173.7,451,497.7,1246,201169,44.1,55482,11.2,2.4,52.6,5.9,15.7,96.10180187,0.684087699,1.127793191,5.050755137,Group 3,0.33169892826117575
"Henry County, Missouri",Missouri,222.5,74,483.4,152,21737,44.1,39232,18.3,2.29,55.6,7.4,19.8,96.1423255,1.720068984,0.158845421,5.062186341,Group 2,0.16301417141221464
"Mercer County, Missouri",Missouri,180.7,11,405.5,22,3694,44.1,38023,15,2.43,54.2,4.6,16.5,97.17590102,0.72619688,0.591715976,4.787961696,Group 3,0.1863415976986289
"Island County, Washington",Washington,143.5,165,462,505,80593,44,59358,10.3,2.33,59.1,9,14.1,85.0470824,2.945959233,4.641429994,6.113924051,Group 2,0.2792767337523401
"Hancock County, Iowa",Iowa,171.3,30,492.1,78,10974,44,57682,8.4,2.33,60.3,1.5,13.9,97.08799135,0.64911648,0.306527227,6.274509804,Group 2,0.21392874466255307
"Eureka County, Nevada",Nevada,178.7,4,453.5494221,1962.667684,2016,43.9,70535,9.8,2.17,64.7,4.7,2.6,95.80587178,0.119832235,0,2.412868633,Group 1,0.1988468214403838
"Cherry County, Nebraska",Nebraska,148.7,14,395.1,33,5848,43.9,43564,13.3,2.14,68,2.6,12.9,91.55979203,0.034662045,0.27729636,4.047619048,Group 1,0.09845062624663115
"Clatsop County, Oregon",Oregon,180.2,93,465.6,231,37831,43.9,45132,15.4,2.32,51.3,7.6,19.4,90.60510406,0.7650741,0.944304746,5.997663248,Group 3,0.18463148782029748
"Morgan County, Ohio",Ohio,187.9,39,438.4,89,14777,43.9,37923,18.1,2.41,58.4,9.3,24,93.20726883,3.540535104,0.127405619,5.657937278,Group 2,0.18742554285563529
"White County, Georgia",Georgia,144.6,54,469,169,28319,43.9,42126,16.9,2.42,62.7,6.8,17.9,94.2859199,2.727501709,0.302256126,3.822835972,Group 3,0.042495579458773136
"Winston County, Alabama",Alabama,203.4,67,454.6,148,23877,43.9,35528,20.1,2.53,52.7,9.6,22.8,96.17488603,0.505594695,0.178201409,5.871779509,Group 3,0.04214240191504359
